,metric_name,description,value
73,"fill rate (rec101,thermometers)",fill rate of recipient rec101 limited to thermometers,0.0
74,"fill rate (rec1010,disinfectingWipes)",fill rate of recipient rec1010 limited to disinfectingWipes,0.0
75,"fill rate (rec1010,gowns)",fill rate of recipient rec1010 limited to gowns,0.0
76,"fill rate (rec1010,handmadeMasks)",fill rate of recipient rec1010 limited to handmadeMasks,1.0
77,"fill rate (rec1010,surgicalMasks)",fill rate of recipient rec1010 limited to surgicalMasks,1.0
78,"fill rate (rec1011,disinfectingWipes)",fill rate of recipient rec1011 limited to disinfectingWipes,0.0
79,"fill rate (rec1011,disposableBooties)",fill rate of recipient rec1011 limited to disposableBooties,0.0
80,"fill rate (rec1011,faceShields)",fill rate of recipient rec1011 limited to faceShields,1.0
81,"fill rate (rec1011,gowns)",fill rate of recipient rec1011 limited to gowns,0.0
82,"fill rate (rec1011,handSanitizer)",fill rate of recipient rec1011 limited to handSanitizer,0.022727272727272728
83,"fill rate (rec1011,nitrileGloves)",fill rate of recipient rec1011 limited to nitrileGloves,0.2673333333333333
84,"fill rate (rec1011,respirators)",fill rate of recipient rec1011 limited to respirators,0.16933333333333334
85,"fill rate (rec1011,thermometers)",fill rate of recipient rec1011 limited to thermometers,0.0
86,"fill rate (rec1012,disinfectingWipes)",fill rate of recipient rec1012 limited to disinfectingWipes,0.0
87,"fill rate (rec1012,disposableBooties)",fill rate of recipient rec1012 limited to disposableBooties,0.0
88,"fill rate (rec1012,faceShields)",fill rate of recipient rec1012 limited to faceShields,0.122
89,"fill rate (rec1012,gowns)",fill rate of recipient rec1012 limited to gowns,0.0
90,"fill rate (rec1012,handmadeMasks)",fill rate of recipient rec1012 limited to handmadeMasks,1.0
91,"fill rate (rec1012,nitrileGloves)",fill rate of recipient rec1012 limited to nitrileGloves,0.06666666666666667
92,"fill rate (rec1012,respirators)",fill rate of recipient rec1012 limited to respirators,0.355
93,"fill rate (rec1012,thermometers)",fill rate of recipient rec1012 limited to thermometers,0.0
94,"fill rate (rec1013,disinfectingWipes)",fill rate of recipient rec1013 limited to disinfectingWipes,0.0
95,"fill rate (rec1013,disposableBooties)",fill rate of recipient rec1013 limited to disposableBooties,0.0
96,"fill rate (rec1013,faceShields)",fill rate of recipient rec1013 limited to faceShields,1.0
97,"fill rate (rec1013,handmadeMasks)",fill rate of recipient rec1013 limited to handmadeMasks,1.0
98,"fill rate (rec1013,respirators)",fill rate of recipient rec1013 limited to respirators,1.0
99,"fill rate (rec1013,thermometers)",fill rate of recipient rec1013 limited to thermometers,0.0
100,"fill rate (rec1014,disinfectingWipes)",fill rate of recipient rec1014 limited to disinfectingWipes,0.0
101,"fill rate (rec1014,disposableBooties)",fill rate of recipient rec1014 limited to disposableBooties,0.0
102,"fill rate (rec1014,gowns)",fill rate of recipient rec1014 limited to gowns,0.0
103,"fill rate (rec1014,handmadeMasks)",fill rate of recipient rec1014 limited to handmadeMasks,1.0
104,"fill rate (rec1014,respirators)",fill rate of recipient rec1014 limited to respirators,1.0
105,"fill rate (rec1015,disposableBooties)",fill rate of recipient rec1015 limited to disposableBooties,0.0
106,"fill rate (rec1015,faceShields)",fill rate of recipient rec1015 limited to faceShields,1.0
107,"fill rate (rec1015,gowns)",fill rate of recipient rec1015 limited to gowns,0.0
108,"fill rate (rec1015,handSanitizer)",fill rate of recipient rec1015 limited to handSanitizer,0.0
109,"fill rate (rec1015,respirators)",fill rate of recipient rec1015 limited to respirators,0.58
110,"fill rate (rec1016,disinfectingWipes)",fill rate of recipient rec1016 limited to disinfectingWipes,0.0
111,"fill rate (rec1016,handSanitizer)",fill rate of recipient rec1016 limited to handSanitizer,0.0
112,"fill rate (rec1016,surgicalMasks)",fill rate of recipient rec1016 limited to surgicalMasks,1.0
113,"fill rate (rec1017,disinfectingWipes)",fill rate of recipient rec1017 limited to disinfectingWipes,0.0
114,"fill rate (rec1017,disposableBooties)",fill rate of recipient rec1017 limited to disposableBooties,0.0
115,"fill rate (rec1017,faceShields)",fill rate of recipient rec1017 limited to faceShields,1.0
116,"fill rate (rec1017,gowns)",fill rate of recipient rec1017 limited to gowns,0.0
117,"fill rate (rec1017,nitrileGloves)",fill rate of recipient rec1017 limited to nitrileGloves,1.0
118,"fill rate (rec1017,respirators)",fill rate of recipient rec1017 limited to respirators,1.0
119,"fill rate (rec1017,thermometers)",fill rate of recipient rec1017 limited to thermometers,0.0
120,"fill rate (rec1018,disinfectingWipes)",fill rate of recipient rec1018 limited to disinfectingWipes,0.0
121,"fill rate (rec1018,gowns)",fill rate of recipient rec1018 limited to gowns,0.0
122,"fill rate (rec1018,handSanitizer)",fill rate of recipient rec1018 limited to handSanitizer,0.0
123,"fill rate (rec1018,handmadeMasks)",fill rate of recipient rec1018 limited to handmadeMasks,1.0
124,"fill rate (rec1018,nitrileGloves)",fill rate of recipient rec1018 limited to nitrileGloves,0.05
125,"fill rate (rec1018,respirators)",fill rate of recipient rec1018 limited to respirators,1.0
126,"fill rate (rec1018,thermometers)",fill rate of recipient rec1018 limited to thermometers,0.0
127,"fill rate (rec1019,disinfectingWipes)",fill rate of recipient rec1019 limited to disinfectingWipes,0.0
128,"fill rate (rec1019,disposableBooties)",fill rate of recipient rec1019 limited to disposableBooties,0.0
129,"fill rate (rec1019,faceShields)",fill rate of recipient rec1019 limited to faceShields,0.245
130,"fill rate (rec1019,gowns)",fill rate of recipient rec1019 limited to gowns,0.0
131,"fill rate (rec1019,handSanitizer)",fill rate of recipient rec1019 limited to handSanitizer,0.0
132,"fill rate (rec1019,respirators)",fill rate of recipient rec1019 limited to respirators,0.03130434782608696
133,"fill rate (rec1019,thermometers)",fill rate of recipient rec1019 limited to thermometers,0.0
134,"fill rate (rec102,disinfectingWipes)",fill rate of recipient rec102 limited to disinfectingWipes,0.0
135,"fill rate (rec102,disposableBooties)",fill rate of recipient rec102 limited to disposableBooties,0.0
136,"fill rate (rec102,gowns)",fill rate of recipient rec102 limited to gowns,0.0
137,"fill rate (rec102,handmadeMasks)",fill rate of recipient rec102 limited to handmadeMasks,1.0
138,"fill rate (rec102,respirators)",fill rate of recipient rec102 limited to respirators,1.0
139,"fill rate (rec1020,disinfectingWipes)",fill rate of recipient rec1020 limited to disinfectingWipes,0.0
140,"fill rate (rec1020,handSanitizer)",fill rate of recipient rec1020 limited to handSanitizer,0.0
141,"fill rate (rec1020,respirators)",fill rate of recipient rec1020 limited to respirators,0.84
142,"fill rate (rec1021,disposableBooties)",fill rate of recipient rec1021 limited to disposableBooties,0.0
143,"fill rate (rec1021,faceShields)",fill rate of recipient rec1021 limited to faceShields,1.0
144,"fill rate (rec1021,gowns)",fill rate of recipient rec1021 limited to gowns,0.0
145,"fill rate (rec1021,respirators)",fill rate of recipient rec1021 limited to respirators,0.505
146,"fill rate (rec1022,handSanitizer)",fill rate of recipient rec1022 limited to handSanitizer,0.0
147,"fill rate (rec1022,nitrileGloves)",fill rate of recipient rec1022 limited to nitrileGloves,8.333333333333333e-05
148,"fill rate (rec1022,respirators)",fill rate of recipient rec1022 limited to respirators,0.021666666666666667
149,"fill rate (rec1023,disinfectingWipes)",fill rate of recipient rec1023 limited to disinfectingWipes,0.0
150,"fill rate (rec1023,faceShields)",fill rate of recipient rec1023 limited to faceShields,0.0
151,"fill rate (rec1023,gowns)",fill rate of recipient rec1023 limited to gowns,0.0
152,"fill rate (rec1023,handSanitizer)",fill rate of recipient rec1023 limited to handSanitizer,0.0
153,"fill rate (rec1023,handmadeMasks)",fill rate of recipient rec1023 limited to handmadeMasks,1.0
154,"fill rate (rec1023,nitrileGloves)",fill rate of recipient rec1023 limited to nitrileGloves,0.0
155,"fill rate (rec1023,respirators)",fill rate of recipient rec1023 limited to respirators,0.248
156,"fill rate (rec1024,disinfectingWipes)",fill rate of recipient rec1024 limited to disinfectingWipes,0.0
157,"fill rate (rec1024,gowns)",fill rate of recipient rec1024 limited to gowns,0.0
158,"fill rate (rec1024,handmadeMasks)",fill rate of recipient rec1024 limited to handmadeMasks,1.0
159,"fill rate (rec1024,nitrileGloves)",fill rate of recipient rec1024 limited to nitrileGloves,0.0
160,"fill rate (rec1024,respirators)",fill rate of recipient rec1024 limited to respirators,1.0
161,"fill rate (rec1024,thermometers)",fill rate of recipient rec1024 limited to thermometers,0.0
162,"fill rate (rec1025,faceShields)",fill rate of recipient rec1025 limited to faceShields,0.0
163,"fill rate (rec1025,gowns)",fill rate of recipient rec1025 limited to gowns,0.0
164,"fill rate (rec1025,respirators)",fill rate of recipient rec1025 limited to respirators,1.0
165,"fill rate (rec1026,disinfectingWipes)",fill rate of recipient rec1026 limited to disinfectingWipes,0.0
166,"fill rate (rec1026,disposableBooties)",fill rate of recipient rec1026 limited to disposableBooties,0.0
167,"fill rate (rec1026,faceShields)",fill rate of recipient rec1026 limited to faceShields,0.0
168,"fill rate (rec1026,gowns)",fill rate of recipient rec1026 limited to gowns,0.0
169,"fill rate (rec1026,handSanitizer)",fill rate of recipient rec1026 limited to handSanitizer,0.0
170,"fill rate (rec1026,handmadeMasks)",fill rate of recipient rec1026 limited to handmadeMasks,1.0
171,"fill rate (rec1026,nitrileGloves)",fill rate of recipient rec1026 limited to nitrileGloves,0.0
172,"fill rate (rec1026,respirators)",fill rate of recipient rec1026 limited to respirators,1.0
173,"fill rate (rec1026,thermometers)",fill rate of recipient rec1026 limited to thermometers,0.0
174,"fill rate (rec1027,disinfectingWipes)",fill rate of recipient rec1027 limited to disinfectingWipes,0.0
175,"fill rate (rec1027,respirators)",fill rate of recipient rec1027 limited to respirators,1.0
176,"fill rate (rec1028,nitrileGloves)",fill rate of recipient rec1028 limited to nitrileGloves,0.0
177,"fill rate (rec1028,respirators)",fill rate of recipient rec1028 limited to respirators,0.006666666666666667
178,"fill rate (rec1029,disinfectingWipes)",fill rate of recipient rec1029 limited to disinfectingWipes,0.0
179,"fill rate (rec1029,faceShields)",fill rate of recipient rec1029 limited to faceShields,0.0
180,"fill rate (rec1029,gowns)",fill rate of recipient rec1029 limited to gowns,0.0
181,"fill rate (rec1029,handmadeMasks)",fill rate of recipient rec1029 limited to handmadeMasks,1.0
182,"fill rate (rec1029,nitrileGloves)",fill rate of recipient rec1029 limited to nitrileGloves,0.0
183,"fill rate (rec1029,respirators)",fill rate of recipient rec1029 limited to respirators,0.302
184,"fill rate (rec103,disposableBooties)",fill rate of recipient rec103 limited to disposableBooties,0.0
185,"fill rate (rec103,faceShields)",fill rate of recipient rec103 limited to faceShields,0.0
186,"fill rate (rec103,gowns)",fill rate of recipient rec103 limited to gowns,0.0
187,"fill rate (rec103,handSanitizer)",fill rate of recipient rec103 limited to handSanitizer,0.0
188,"fill rate (rec103,handmadeMasks)",fill rate of recipient rec103 limited to handmadeMasks,1.0
189,"fill rate (rec103,nitrileGloves)",fill rate of recipient rec103 limited to nitrileGloves,0.0
190,"fill rate (rec103,respirators)",fill rate of recipient rec103 limited to respirators,1.0
191,"fill rate (rec103,thermometers)",fill rate of recipient rec103 limited to thermometers,0.0
192,"fill rate (rec1030,disinfectingWipes)",fill rate of recipient rec1030 limited to disinfectingWipes,0.0
193,"fill rate (rec1030,disposableBooties)",fill rate of recipient rec1030 limited to disposableBooties,0.0
194,"fill rate (rec1030,faceShields)",fill rate of recipient rec1030 limited to faceShields,0.0
195,"fill rate (rec1030,gowns)",fill rate of recipient rec1030 limited to gowns,0.0
196,"fill rate (rec1030,handSanitizer)",fill rate of recipient rec1030 limited to handSanitizer,0.0
197,"fill rate (rec1030,handmadeMasks)",fill rate of recipient rec1030 limited to handmadeMasks,1.0
198,"fill rate (rec1030,nitrileGloves)",fill rate of recipient rec1030 limited to nitrileGloves,0.0
199,"fill rate (rec1030,respirators)",fill rate of recipient rec1030 limited to respirators,0.001
200,"fill rate (rec1030,surgicalMasks)",fill rate of recipient rec1030 limited to surgicalMasks,1.0
201,"fill rate (rec1030,thermometers)",fill rate of recipient rec1030 limited to thermometers,0.0
202,"fill rate (rec1031,disinfectingWipes)",fill rate of recipient rec1031 limited to disinfectingWipes,0.0
203,"fill rate (rec1031,faceShields)",fill rate of recipient rec1031 limited to faceShields,0.0
204,"fill rate (rec1031,gowns)",fill rate of recipient rec1031 limited to gowns,0.0
205,"fill rate (rec1031,handmadeMasks)",fill rate of recipient rec1031 limited to handmadeMasks,1.0
206,"fill rate (rec1031,nitrileGloves)",fill rate of recipient rec1031 limited to nitrileGloves,0.0
207,"fill rate (rec1031,respirators)",fill rate of recipient rec1031 limited to respirators,0.05
208,"fill rate (rec1031,surgicalMasks)",fill rate of recipient rec1031 limited to surgicalMasks,1.0
209,"fill rate (rec1032,faceShields)",fill rate of recipient rec1032 limited to faceShields,0.0
210,"fill rate (rec1032,gowns)",fill rate of recipient rec1032 limited to gowns,0.0
211,"fill rate (rec1032,respirators)",fill rate of recipient rec1032 limited to respirators,1.0
212,"fill rate (rec1033,faceShields)",fill rate of recipient rec1033 limited to faceShields,0.0
213,"fill rate (rec1033,respirators)",fill rate of recipient rec1033 limited to respirators,0.4
214,"fill rate (rec1033,surgicalMasks)",fill rate of recipient rec1033 limited to surgicalMasks,1.0
215,"fill rate (rec1033,thermometers)",fill rate of recipient rec1033 limited to thermometers,0.0
216,"fill rate (rec1034,disinfectingWipes)",fill rate of recipient rec1034 limited to disinfectingWipes,0.0
217,"fill rate (rec1034,disposableBooties)",fill rate of recipient rec1034 limited to disposableBooties,0.0
218,"fill rate (rec1034,faceShields)",fill rate of recipient rec1034 limited to faceShields,0.0
219,"fill rate (rec1034,gowns)",fill rate of recipient rec1034 limited to gowns,0.0
220,"fill rate (rec1034,handmadeMasks)",fill rate of recipient rec1034 limited to handmadeMasks,1.0
221,"fill rate (rec1034,nitrileGloves)",fill rate of recipient rec1034 limited to nitrileGloves,0.0
222,"fill rate (rec1034,respirators)",fill rate of recipient rec1034 limited to respirators,1.0
223,"fill rate (rec1034,thermometers)",fill rate of recipient rec1034 limited to thermometers,0.0
224,"fill rate (rec1035,faceShields)",fill rate of recipient rec1035 limited to faceShields,0.0
225,"fill rate (rec1035,handSanitizer)",fill rate of recipient rec1035 limited to handSanitizer,0.0
226,"fill rate (rec1035,nitrileGloves)",fill rate of recipient rec1035 limited to nitrileGloves,0.0
227,"fill rate (rec1035,respirators)",fill rate of recipient rec1035 limited to respirators,0.0
228,"fill rate (rec1035,surgicalMasks)",fill rate of recipient rec1035 limited to surgicalMasks,1.0
229,"fill rate (rec1036,disinfectingWipes)",fill rate of recipient rec1036 limited to disinfectingWipes,0.0
230,"fill rate (rec1036,faceShields)",fill rate of recipient rec1036 limited to faceShields,0.0
231,"fill rate (rec1036,gowns)",fill rate of recipient rec1036 limited to gowns,0.0
232,"fill rate (rec1036,nitrileGloves)",fill rate of recipient rec1036 limited to nitrileGloves,0.0
233,"fill rate (rec1036,respirators)",fill rate of recipient rec1036 limited to respirators,0.0
234,"fill rate (rec1036,surgicalMasks)",fill rate of recipient rec1036 limited to surgicalMasks,1.0
235,"fill rate (rec1036,thermometers)",fill rate of recipient rec1036 limited to thermometers,0.0
236,"fill rate (rec1037,faceShields)",fill rate of recipient rec1037 limited to faceShields,0.0
237,"fill rate (rec1037,handSanitizer)",fill rate of recipient rec1037 limited to handSanitizer,0.0
238,"fill rate (rec1037,respirators)",fill rate of recipient rec1037 limited to respirators,0.0
239,"fill rate (rec1037,surgicalMasks)",fill rate of recipient rec1037 limited to surgicalMasks,0.483
240,"fill rate (rec1038,disinfectingWipes)",fill rate of recipient rec1038 limited to disinfectingWipes,0.0
241,"fill rate (rec1038,disposableBooties)",fill rate of recipient rec1038 limited to disposableBooties,0.0
242,"fill rate (rec1038,faceShields)",fill rate of recipient rec1038 limited to faceShields,0.0
243,"fill rate (rec1038,gowns)",fill rate of recipient rec1038 limited to gowns,0.0
244,"fill rate (rec1038,handmadeMasks)",fill rate of recipient rec1038 limited to handmadeMasks,1.0
245,"fill rate (rec1038,nitrileGloves)",fill rate of recipient rec1038 limited to nitrileGloves,0.0
246,"fill rate (rec1038,respirators)",fill rate of recipient rec1038 limited to respirators,0.0
247,"fill rate (rec1038,surgicalMasks)",fill rate of recipient rec1038 limited to surgicalMasks,1.0
248,"fill rate (rec1038,thermometers)",fill rate of recipient rec1038 limited to thermometers,0.0
249,"fill rate (rec1039,disinfectingWipes)",fill rate of recipient rec1039 limited to disinfectingWipes,0.0
250,"fill rate (rec1039,gowns)",fill rate of recipient rec1039 limited to gowns,0.0
251,"fill rate (rec1039,handSanitizer)",fill rate of recipient rec1039 limited to handSanitizer,0.0
252,"fill rate (rec1039,handmadeMasks)",fill rate of recipient rec1039 limited to handmadeMasks,1.0
253,"fill rate (rec1039,nitrileGloves)",fill rate of recipient rec1039 limited to nitrileGloves,0.0
254,"fill rate (rec1039,respirators)",fill rate of recipient rec1039 limited to respirators,0.0
255,"fill rate (rec1039,surgicalMasks)",fill rate of recipient rec1039 limited to surgicalMasks,1.0
256,"fill rate (rec1039,thermometers)",fill rate of recipient rec1039 limited to thermometers,0.0
257,"fill rate (rec104,disinfectingWipes)",fill rate of recipient rec104 limited to disinfectingWipes,0.0
258,"fill rate (rec104,faceShields)",fill rate of recipient rec104 limited to faceShields,0.0
259,"fill rate (rec104,gowns)",fill rate of recipient rec104 limited to gowns,0.0
260,"fill rate (rec104,handSanitizer)",fill rate of recipient rec104 limited to handSanitizer,0.0
261,"fill rate (rec104,handmadeMasks)",fill rate of recipient rec104 limited to handmadeMasks,1.0
262,"fill rate (rec104,nitrileGloves)",fill rate of recipient rec104 limited to nitrileGloves,0.0
263,"fill rate (rec104,respirators)",fill rate of recipient rec104 limited to respirators,0.0
264,"fill rate (rec104,thermometers)",fill rate of recipient rec104 limited to thermometers,0.0
265,"fill rate (rec1040,respirators)",fill rate of recipient rec1040 limited to respirators,0.0
266,"fill rate (rec1040,thermometers)",fill rate of recipient rec1040 limited to thermometers,0.0
267,"fill rate (rec1041,respirators)",fill rate of recipient rec1041 limited to respirators,0.0
268,"fill rate (rec1041,thermometers)",fill rate of recipient rec1041 limited to thermometers,0.0
269,"fill rate (rec1042,disinfectingWipes)",fill rate of recipient rec1042 limited to disinfectingWipes,0.0
270,"fill rate (rec1042,disposableBooties)",fill rate of recipient rec1042 limited to disposableBooties,0.0
271,"fill rate (rec1042,faceShields)",fill rate of recipient rec1042 limited to faceShields,0.0
272,"fill rate (rec1042,gowns)",fill rate of recipient rec1042 limited to gowns,0.0
273,"fill rate (rec1042,handSanitizer)",fill rate of recipient rec1042 limited to handSanitizer,0.0
274,"fill rate (rec1042,handmadeMasks)",fill rate of recipient rec1042 limited to handmadeMasks,1.0
275,"fill rate (rec1042,respirators)",fill rate of recipient rec1042 limited to respirators,0.0
276,"fill rate (rec1042,surgicalMasks)",fill rate of recipient rec1042 limited to surgicalMasks,1.0
277,"fill rate (rec1042,thermometers)",fill rate of recipient rec1042 limited to thermometers,0.0
278,"fill rate (rec1043,disinfectingWipes)",fill rate of recipient rec1043 limited to disinfectingWipes,0.0
279,"fill rate (rec1043,disposableBooties)",fill rate of recipient rec1043 limited to disposableBooties,0.0
280,"fill rate (rec1043,faceShields)",fill rate of recipient rec1043 limited to faceShields,0.0
281,"fill rate (rec1043,gowns)",fill rate of recipient rec1043 limited to gowns,0.0
282,"fill rate (rec1043,handSanitizer)",fill rate of recipient rec1043 limited to handSanitizer,0.0
283,"fill rate (rec1043,nitrileGloves)",fill rate of recipient rec1043 limited to nitrileGloves,0.0
284,"fill rate (rec1043,respirators)",fill rate of recipient rec1043 limited to respirators,0.0
285,"fill rate (rec1043,surgicalMasks)",fill rate of recipient rec1043 limited to surgicalMasks,1.0
286,"fill rate (rec1043,thermometers)",fill rate of recipient rec1043 limited to thermometers,0.0
287,"fill rate (rec1044,disinfectingWipes)",fill rate of recipient rec1044 limited to disinfectingWipes,0.0
288,"fill rate (rec1044,disposableBooties)",fill rate of recipient rec1044 limited to disposableBooties,0.0
289,"fill rate (rec1044,handSanitizer)",fill rate of recipient rec1044 limited to handSanitizer,0.0
290,"fill rate (rec1044,handmadeMasks)",fill rate of recipient rec1044 limited to handmadeMasks,1.0
291,"fill rate (rec1044,nitrileGloves)",fill rate of recipient rec1044 limited to nitrileGloves,0.0
292,"fill rate (rec1044,surgicalMasks)",fill rate of recipient rec1044 limited to surgicalMasks,1.0
293,"fill rate (rec1045,disinfectingWipes)",fill rate of recipient rec1045 limited to disinfectingWipes,0.0
294,"fill rate (rec1045,faceShields)",fill rate of recipient rec1045 limited to faceShields,0.0
295,"fill rate (rec1045,gowns)",fill rate of recipient rec1045 limited to gowns,0.0
296,"fill rate (rec1045,handSanitizer)",fill rate of recipient rec1045 limited to handSanitizer,0.0
297,"fill rate (rec1045,nitrileGloves)",fill rate of recipient rec1045 limited to nitrileGloves,0.0
298,"fill rate (rec1045,respirators)",fill rate of recipient rec1045 limited to respirators,0.0
299,"fill rate (rec1045,surgicalMasks)",fill rate of recipient rec1045 limited to surgicalMasks,1.0
300,"fill rate (rec1045,thermometers)",fill rate of recipient rec1045 limited to thermometers,0.0
301,"fill rate (rec1046,disinfectingWipes)",fill rate of recipient rec1046 limited to disinfectingWipes,0.0
