,don_id,date,ppe,qty,don_req_id
698,don32,2020-04-13 13:53:00+00:00,faceShields,50.0,32
699,don33,2020-04-13 14:47:00+00:00,faceShields,4000.0,33
700,don34,2020-04-13 15:00:00+00:00,faceShields,100.0,34
697,don35,2020-04-13 15:07:00+00:00,faceShields,100.0,35
535,don36,2020-04-13 15:14:00+00:00,faceShields,48.0,36
534,don37,2020-04-13 15:47:00+00:00,faceShields,400.0,37
536,don38,2020-04-13 15:51:00+00:00,faceShields,15.0,38
533,don39,2020-04-13 16:46:00+00:00,faceShields,100000.0,39
537,don40,2020-04-13 18:58:00+00:00,faceShields,100.0,40
392,don41,2020-04-13 23:44:00+00:00,faceShields,100.0,41
395,don42,2020-04-14 01:46:00+00:00,faceShields,500.0,42
393,don43,2020-04-14 15:03:00+00:00,faceShields,2000.0,43
396,don44,2020-04-14 17:48:00+00:00,faceShields,25.0,44
259,don45,2020-04-15 10:21:00+00:00,faceShields,100.0,45
257,don46,2020-04-15 10:56:00+00:00,faceShields,14.0,46
258,don47,2020-04-15 16:05:00+00:00,faceShields,100.0,47
256,don48,2020-04-15 19:24:00+00:00,faceShields,70.0,48
132,don49,2020-04-15 20:54:00+00:00,faceShields,3000.0,49
129,don50,2020-04-15 22:04:00+00:00,faceShields,100.0,50
130,don60,2020-04-16 00:19:00+00:00,faceShields,100.0,51
131,don52,2020-04-16 10:52:00+00:00,faceShields,100.0,52
1563,don53,2020-04-16 11:19:00+00:00,faceShields,300.0,53
1566,don54,2020-04-16 12:22:00+00:00,faceShields,10000.0,54
1564,don148,2020-04-16 14:49:00+00:00,faceShields,82.0,55
1565,don56,2020-04-16 16:01:00+00:00,faceShields,15.0,56
1436,don57,2020-04-16 16:39:00+00:00,faceShields,9.0,57
1432,don58,2020-04-16 17:00:00+00:00,faceShields,50.0,58
1434,don59,2020-04-16 17:31:00+00:00,faceShields,100.0,59
1433,don60,2020-04-16 19:07:00+00:00,faceShields,100.0,60
1435,don61,2020-04-16 19:55:00+00:00,faceShields,300.0,61
1290,don62,2020-04-16 23:15:00+00:00,faceShields,15.0,62
1289,don63,2020-04-17 01:18:00+00:00,faceShields,40.0,63
1291,don64,2020-04-17 13:16:00+00:00,faceShields,50.0,64
1131,don65,2020-04-17 18:27:00+00:00,faceShields,500.0,65
1135,don66,2020-04-18 13:18:00+00:00,faceShields,100000000000000.0,66
1133,don67,2020-04-18 14:12:00+00:00,faceShields,30.0,67
1132,don68,2020-04-18 23:34:00+00:00,faceShields,25.0,68
1134,don69,2020-04-19 00:41:00+00:00,faceShields,50.0,69
890,don150,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,70
915,don71,2020-04-19 04:00:00+00:00,handmadeMasks,10.0,71
913,don72,2020-04-19 04:00:00+00:00,handmadeMasks,25.0,72
892,don73,2020-04-19 04:00:00+00:00,handmadeMasks,200.0,73
891,don74,2020-04-19 04:00:00+00:00,handmadeMasks,2.0,74
889,don75,2020-04-19 04:00:00+00:00,handmadeMasks,1.0,75
872,don76,2020-04-19 04:00:00+00:00,faceShields,70.0,76
871,don77,2020-04-19 04:00:00+00:00,surgicalMasks,95.0,77
869,don78,2020-04-19 04:00:00+00:00,respirators,20.0,78
888,don150,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,79
1025,don80,2020-04-19 04:00:00+00:00,faceShields,40.0,80
1039,don81,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,81
1041,don82,2020-04-19 04:00:00+00:00,coveralls,4.0,82
956,don83,2020-04-19 04:00:00+00:00,faceShields,70.0,83
959,don84,2020-04-19 04:00:00+00:00,nitrileGloves,200.0,84
975,don85,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,85
977,don86,2020-04-19 04:00:00+00:00,nitrileGloves,500.0,86
669,don87,2020-04-19 04:00:00+00:00,faceShields,24.0,87
670,don88,2020-04-19 04:00:00+00:00,faceShields,50.0,88
680,don89,2020-04-19 04:00:00+00:00,faceShields,1000.0,89
681,don90,2020-04-19 04:00:00+00:00,nitrileGloves,5.0,90
682,don91,2020-04-19 04:00:00+00:00,faceShields,30.0,91
683,don92,2020-04-19 04:00:00+00:00,nitrileGloves,3.0,92
684,don93,2020-04-19 04:00:00+00:00,respirators,140.0,93
668,don94,2020-04-19 04:00:00+00:00,handmadeMasks,32.0,94
706,don95,2020-04-19 04:00:00+00:00,faceShields,20.0,95
708,don96,2020-04-19 04:00:00+00:00,surgicalMasks,300.0,96
667,don97,2020-04-19 04:00:00+00:00,faceShields,100.0,97
612,don98,2020-04-19 04:00:00+00:00,respirators,1.0,98
631,don99,2020-04-19 04:00:00+00:00,handmadeMasks,10.0,99
633,don100,2020-04-19 04:00:00+00:00,nitrileGloves,100.0,100
634,don101,2020-04-19 04:00:00+00:00,surgicalMasks,200.0,101
805,don102,2020-04-19 04:00:00+00:00,respirators,30.0,102
807,don103,2020-04-19 04:00:00+00:00,respirators,2.0,103
809,don104,2020-04-19 04:00:00+00:00,faceShields,20.0,104
1042,don105,2020-04-19 04:00:00+00:00,faceShields,200.0,105
844,don106,2020-04-19 04:00:00+00:00,disposableBooties,5250.0,106
845,don107,2020-04-19 04:00:00+00:00,respirators,40.0,107
846,don108,2020-04-19 04:00:00+00:00,faceShields,30.0,108
848,don109,2020-04-19 04:00:00+00:00,handmadeMasks,25.0,109
723,don110,2020-04-19 04:00:00+00:00,handmadeMasks,3000.0,110
724,don150,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,111
725,don112,2020-04-19 04:00:00+00:00,handmadeMasks,70.0,112
765,don113,2020-04-19 04:00:00+00:00,surgicalMasks,15000.0,113
766,don114,2020-04-19 04:00:00+00:00,disinfectingWipes,150.0,114
767,don115,2020-04-19 04:00:00+00:00,faceShields,25.0,115
769,don116,2020-04-19 04:00:00+00:00,babyMonitors,50.0,116
788,don117,2020-04-19 04:00:00+00:00,nitrileGloves,1.0,117
789,don118,2020-04-19 04:00:00+00:00,nitrileGloves,700.0,118
790,don119,2020-04-19 04:00:00+00:00,nitrileGloves,9.0,119
791,don120,2020-04-19 04:00:00+00:00,nitrileGloves,300.0,120
1043,don121,2020-04-19 04:00:00+00:00,surgicalMasks,100.0,121
1358,don122,2020-04-19 04:00:00+00:00,handmadeMasks,18.0,122
1359,don123,2020-04-19 04:00:00+00:00,handmadeMasks,30.0,123
1360,don124,2020-04-19 04:00:00+00:00,handmadeMasks,490.0,124
1361,don125,2020-04-19 04:00:00+00:00,handmadeMasks,500.0,125
1386,don126,2020-04-19 04:00:00+00:00,coveralls,384.0,126
1387,don127,2020-04-19 04:00:00+00:00,surgicalMasks,1000.0,127
1388,don128,2020-04-19 04:00:00+00:00,faceShields,100.0,128
1413,don129,2020-04-19 04:00:00+00:00,respirators,20.0,129
1416,don130,2020-04-19 04:00:00+00:00,surgicalMasks,50.0,130
1417,don131,2020-04-19 04:00:00+00:00,surgicalMasks,150.0,131
1326,don132,2020-04-19 04:00:00+00:00,faceShields,50.0,132
1327,don133,2020-04-19 04:00:00+00:00,faceShields,100.0,133
1344,don134,2020-04-19 04:00:00+00:00,respirators,10.0,134
1347,don135,2020-04-19 04:00:00+00:00,respirators,300.0,135
1443,don136,2020-04-19 04:00:00+00:00,faceShields,9.0,136
1572,don137,2020-04-19 04:00:00+00:00,faceShields,15.0,137
1573,don138,2020-04-19 04:00:00+00:00,faceShields,42.0,138
1574,don139,2020-04-19 04:00:00+00:00,respirators,200.0,139
1575,don140,2020-04-19 04:00:00+00:00,faceShields,50.0,140
1592,don141,2020-04-19 04:00:00+00:00,handmadeMasks,200.0,141
1487,don142,2020-04-19 04:00:00+00:00,respirators,30.0,142
1488,don143,2020-04-19 04:00:00+00:00,respirators,15.0,143
1444,don144,2020-04-19 04:00:00+00:00,faceShields,100.0,144
1491,don145,2020-04-19 04:00:00+00:00,nitrileGloves,200.0,145
1492,don146,2020-04-19 04:00:00+00:00,handmadeMasks,12500.0,146
1493,don147,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,147
1494,don148,2020-04-19 04:00:00+00:00,handmadeMasks,20.0,148
1495,don149,2020-04-19 04:00:00+00:00,handmadeMasks,1000.0,149
1514,don150,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,150
1515,don151,2020-04-19 04:00:00+00:00,surgicalMasks,20000.0,151
1517,don152,2020-04-19 04:00:00+00:00,surgicalMasks,150.0,152
1547,don153,2020-04-19 04:00:00+00:00,surgicalMasks,50.0,153
1548,don154,2020-04-19 04:00:00+00:00,faceShields,50.0,154
1145,don155,2020-04-19 04:00:00+00:00,faceShields,100.0,155
1169,don156,2020-04-19 04:00:00+00:00,faceShields,100.0,156
1170,don157,2020-04-19 04:00:00+00:00,surgicalMasks,50.0,157
1171,don158,2020-04-19 04:00:00+00:00,nitrileGloves,1200.0,158
1173,don159,2020-04-19 04:00:00+00:00,faceShields,50.0,159
1058,don160,2020-04-19 04:00:00+00:00,handmadeMasks,1.0,160
1059,don161,2020-04-19 04:00:00+00:00,handmadeMasks,33.0,161
1060,don189,2020-04-19 04:00:00+00:00,handmadeMasks,25.0,162
1075,don163,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,163
1076,don164,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,164
1077,don165,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,165
1092,don166,2020-04-19 04:00:00+00:00,handmadeMasks,38.0,166
1095,don167,2020-04-19 04:00:00+00:00,surgicalMasks,1000.0,167
1117,don168,2020-04-19 04:00:00+00:00,faceShields,150.0,168
1118,don169,2020-04-19 04:00:00+00:00,respirators,1.0,169
1061,don170,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,170
1249,don171,2020-04-19 04:00:00+00:00,disposableBooties,300.0,171
1271,don172,2020-04-19 04:00:00+00:00,respirators,4.0,172
1273,don173,2020-04-19 04:00:00+00:00,handSanitizer,1.0,173
1274,don174,2020-04-19 04:00:00+00:00,respirators,200.0,174
1298,don175,2020-04-19 04:00:00+00:00,nitrileGloves,1.0,175
1299,don176,2020-04-19 04:00:00+00:00,respirators,8.0,176
1300,don177,2020-04-19 04:00:00+00:00,respirators,8.0,177
1301,don178,2020-04-19 04:00:00+00:00,handmadeMasks,30.0,178
1302,don179,2020-04-19 04:00:00+00:00,handmadeMasks,60.0,179
1233,don180,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,180
1232,don181,2020-04-19 04:00:00+00:00,handmadeMasks,5.0,181
1193,don182,2020-04-19 04:00:00+00:00,handmadeMasks,20.0,182
1194,don183,2020-04-19 04:00:00+00:00,respirators,42.0,183
1209,don184,2020-04-19 04:00:00+00:00,handmadeMasks,500.0,184
1210,don185,2020-04-19 04:00:00+00:00,handmadeMasks,18.0,185
1211,don186,2020-04-19 04:00:00+00:00,handmadeMasks,400.0,186
1212,don187,2020-04-19 04:00:00+00:00,handmadeMasks,15.0,187
1213,don188,2020-04-19 04:00:00+00:00,handmadeMasks,450.0,188
1229,don189,2020-04-19 04:00:00+00:00,handmadeMasks,12.0,189
1230,don190,2020-04-19 04:00:00+00:00,handmadeMasks,25.0,190
1231,don191,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,191
1074,don192,2020-04-19 04:00:00+00:00,handmadeMasks,260.0,192
806,don193,2020-04-19 04:00:00+00:00,surgicalMasks,6000.0,193
85,don194,2020-04-19 04:00:00+00:00,respirators,10.0,194
375,don195,2020-04-19 04:00:00+00:00,faceShields,30.0,195
376,don196,2020-04-19 04:00:00+00:00,handSanitizer,10.0,196
378,don197,2020-04-19 04:00:00+00:00,handmadeMasks,40.0,197
348,don198,2020-04-19 04:00:00+00:00,surgicalMasks,2000.0,198
346,don199,2020-04-19 04:00:00+00:00,faceShields,20.0,199
111,don200,2020-04-19 04:00:00+00:00,gowns,49.0,200
284,don201,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,201
285,don202,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,202
286,don203,2020-04-19 04:00:00+00:00,handmadeMasks,30.0,203
287,don204,2020-04-19 04:00:00+00:00,handmadeMasks,3000.0,204
323,don205,2020-04-19 04:00:00+00:00,safetyGlasses,1000.0,205
324,don206,2020-04-19 04:00:00+00:00,respirators,10.0,206
325,don207,2020-04-19 04:00:00+00:00,handmadeMasks,30.0,207
347,don208,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,208
418,don209,2020-04-19 04:00:00+00:00,handmadeMasks,17.0,209
419,don210,2020-04-19 04:00:00+00:00,handmadeMasks,10.0,210
420,don211,2020-04-19 04:00:00+00:00,handmadeMasks,70.0,211
421,don212,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,212
422,don213,2020-04-19 04:00:00+00:00,handmadeMasks,40.0,213
1624,don214,2020-04-19 04:00:00+00:00,respirators,100.0,214
466,don215,2020-04-19 04:00:00+00:00,surgicalMasks,2000.0,215
402,don216,2020-04-19 04:00:00+00:00,disinfectingWipes,80.0,216
404,don217,2020-04-19 04:00:00+00:00,faceShields,11.0,217
112,don218,2020-04-19 04:00:00+00:00,faceShields,40.0,218
113,don219,2020-04-19 04:00:00+00:00,faceShields,500.0,219
138,don220,2020-04-19 04:00:00+00:00,nitrileGloves,20000.0,220
188,don221,2020-04-19 04:00:00+00:00,respirators,1000.0,221
209,don222,2020-04-19 04:00:00+00:00,handmadeMasks,36.0,222
139,don223,2020-04-19 04:00:00+00:00,faceShields,500.0,223
140,don224,2020-04-19 04:00:00+00:00,faceShields,200.0,224
155,don225,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,225
154,don226,2020-04-19 04:00:00+00:00,handmadeMasks,20.0,226
153,don227,2020-04-19 04:00:00+00:00,handmadeMasks,5.0,227
184,don228,2020-04-19 04:00:00+00:00,respirators,6000.0,228
268,don229,2020-04-19 04:00:00+00:00,faceShields,50.0,229
269,don230,2020-04-19 04:00:00+00:00,faceShields,2500.0,230
115,don231,2020-04-19 04:00:00+00:00,faceShields,20.0,231
267,don232,2020-04-19 04:00:00+00:00,respirators,4.0,232
265,don233,2020-04-19 04:00:00+00:00,nitrileGloves,200.0,233
239,don234,2020-04-19 04:00:00+00:00,faceShields,200.0,234
241,don235,2020-04-19 04:00:00+00:00,faceShields,1000.0,235
1625,don236,2020-04-19 04:00:00+00:00,respirators,10.0,236
156,don237,2020-04-19 04:00:00+00:00,handmadeMasks,10.0,237
1626,don238,2020-04-19 04:00:00+00:00,handmadeMasks,2000.0,238
483,don239,2020-04-19 04:00:00+00:00,handmadeMasks,20.0,239
484,don240,2020-04-19 04:00:00+00:00,faceShields,15.0,240
485,don241,2020-04-19 04:00:00+00:00,safetyGlasses,1.0,241
486,don242,2020-04-19 04:00:00+00:00,faceShields,20.0,242
490,don243,2020-04-19 04:00:00+00:00,nitrileGloves,10000.0,243
562,don244,2020-04-19 04:00:00+00:00,handmadeMasks,4.0,244
563,don245,2020-04-19 04:00:00+00:00,handmadeMasks,50.0,245
564,don246,2020-04-19 04:00:00+00:00,handmadeMasks,24.0,246
565,don247,2020-04-19 04:00:00+00:00,handmadeMasks,100.0,247
1627,don248,2020-04-19 04:00:00+00:00,handmadeMasks,15.0,248
1628,don249,2020-04-19 04:00:00+00:00,respirators,20.0,249
547,don250,2020-04-19 04:00:00+00:00,nitrileGloves,1.0,250
517,don251,2020-04-19 04:00:00+00:00,safetyGlasses,4.0,251
546,don252,2020-04-19 04:00:00+00:00,respirators,100.0,252
543,don253,2020-04-19 04:00:00+00:00,respirators,10.0,253
515,don254,2020-04-19 04:00:00+00:00,disinfectingWipes,3.0,254
514,don255,2020-04-19 04:00:00+00:00,nitrileGloves,2.0,255
1629,don256,2020-04-19 04:00:00+00:00,handmadeMasks,40.0,256
993,don257,2020-04-19 13:28:00+00:00,faceShields,30.0,257
990,don258,2020-04-19 17:09:00+00:00,faceShields,1000.0,258
820,don259,2020-04-19 17:50:00+00:00,faceShields,1.0,259
821,don260,2020-04-19 19:39:00+00:00,faceShields,50.0,260
665,don261,2020-04-20 09:23:00+00:00,faceShields,17.0,261
506,don262,2020-04-20 10:49:00+00:00,faceShields,40.0,262
505,don263,2020-04-20 17:17:42.923000+00:00,handmadeMasks,2.0,263
507,don264,2020-04-20 17:21:39.103000+00:00,faceShields,600.0,264
367,don265,2020-04-20 17:30:23.989000+00:00,faceShields,5.0,265
364,don267,2020-04-20 17:46:23.746000+00:00,faceShields,50.0,266
366,don267,2020-04-20 17:46:23.746000+00:00,handmadeMasks,50.0,267
368,don268,2020-04-20 17:51:58.101000+00:00,respirators,10.0,268
365,don269,2020-04-20 18:20:43.641000+00:00,faceShields,2000.0,269
228,don270,2020-04-20 19:01:22.755000+00:00,surgicalMasks,2000.0,270
225,don271,2020-04-20 19:37:30.329000+00:00,faceShields,30.0,271
227,don272,2020-04-20 19:59:08.633000+00:00,faceShields,70.0,272
229,don273,2020-04-20 20:08:26.747000+00:00,faceShields,2500.0,273
60,don274,2020-04-20 20:39:07.363000+00:00,faceShields,50.0,274
62,don275,2020-04-20 20:40:29.164000+00:00,disposableBooties,16300.0,275
1497,don276,2020-04-21 02:02:11.456000+00:00,coveralls,1.0,276
1496,don279,2020-04-21 02:53:42.850000+00:00,respirators,2000.0,277
1500,don279,2020-04-21 02:53:42.850000+00:00,safetyGoggles,150.0,278
1499,don279,2020-04-21 02:53:42.850000+00:00,coveralls,50.0,279
1369,don280,2020-04-21 03:25:37.143000+00:00,faceShields,25.0,280
1367,don281,2020-04-21 05:49:48.828000+00:00,handmadeMasks,200.0,281
1366,don282,2020-04-21 07:34:29.930000+00:00,faceShields,300.0,282
1368,don283,2020-04-21 08:57:52.220000+00:00,surgicalMasks,3000.0,283
1227,don284,2020-04-21 14:39:33.163000+00:00,faceShields,20.0,284
1224,don285,2020-04-21 15:40:04.531000+00:00,faceShields,1000000.0,285
1072,don286,2020-04-21 15:55:13.864000+00:00,handmadeMasks,2.0,286
1071,don287,2020-04-21 15:55:14.697000+00:00,handmadeMasks,2.0,287
911,don288,2020-04-21 15:55:14.785000+00:00,handmadeMasks,2.0,288
908,don289,2020-04-21 16:38:16.509000+00:00,faceShields,100.0,289
910,don290,2020-04-21 16:45:45.569000+00:00,faceShields,30.0,290
909,don292,2020-04-21 17:15:38.119000+00:00,surgicalMasks,300.0,291
738,don292,2020-04-21 17:15:38.119000+00:00,nitrileGloves,5000.0,292
740,don293,2020-04-21 17:40:25.104000+00:00,respirators,720.0,293
582,don294,2020-04-21 18:11:40.756000+00:00,surgicalMasks,200.0,294
584,don295,2020-04-21 18:27:30.438000+00:00,faceShields,6.0,295
439,don296,2020-04-21 19:30:51.513000+00:00,surgicalMasks,1000.0,296
436,don297,2020-04-21 19:40:35.708000+00:00,respirators,4.0,297
438,don298,2020-04-21 19:52:59.879000+00:00,surgicalMasks,2000.0,298
440,don299,2020-04-21 20:19:46.455000+00:00,faceShields,40.0,299
302,don300,2020-04-21 21:40:24.230000+00:00,surgicalMasks,75.0,300
174,don301,2020-04-21 22:32:54.397000+00:00,handmadeMasks,30.0,301
173,don302,2020-04-22 01:05:54.853000+00:00,faceShields,80.0,302
170,don303,2020-04-22 02:58:09.846000+00:00,handmadeMasks,10.0,303
1608,don304,2020-04-22 04:41:45.191000+00:00,handmadeMasks,100.0,304
1611,don305,2020-04-22 05:19:12.251000+00:00,respirators,16.0,305
1610,don306,2020-04-22 06:42:18.275000+00:00,handmadeMasks,100.0,306
1472,don307,2020-04-22 14:16:56.153000+00:00,faceShields,70.0,307
1476,don308,2020-04-22 15:39:01.825000+00:00,faceShields,100.0,308
1473,don309,2020-04-22 16:29:48.318000+00:00,faceShields,52.0,309
1324,don310,2020-04-22 17:04:01.823000+00:00,handmadeMasks,50.0,310
1167,don316,2020-04-22 18:38:58.394000+00:00,handSanitizer,1000000.0,311
1164,don316,2020-04-22 18:38:58.394000+00:00,disinfectingWipes,100000.0,312
1325,don316,2020-04-22 18:38:58.394000+00:00,nitrileGloves,350000.0,313
1168,don316,2020-04-22 18:38:58.394000+00:00,handmadeMasks,2000000.0,314
1166,don316,2020-04-22 18:38:58.394000+00:00,babyMonitors,300000.0,315
1323,don316,2020-04-22 18:38:58.394000+00:00,surgicalMasks,1000000.0,316
1165,don317,2020-04-22 18:41:00.563000+00:00,handmadeMasks,148.0,317
1012,don318,2020-04-22 19:53:54.254000+00:00,faceShields,100.0,318
1013,don319,2020-04-22 22:15:21.100000+00:00,faceShields,50.0,319
841,don321,2020-04-22 23:20:57.206000+00:00,respirators,300.0,320
843,don321,2020-04-22 23:20:57.206000+00:00,surgicalMasks,300.0,321
840,don323,2020-04-22 23:23:20.954000+00:00,surgicalMasks,300.0,322
839,don323,2020-04-22 23:23:20.954000+00:00,handmadeMasks,200.0,323
842,don324,2020-04-22 23:58:03.765000+00:00,faceShields,100.0,324
678,don325,2020-04-23 00:15:37.034000+00:00,handmadeMasks,100.0,325
679,don326,2020-04-23 00:21:49.510000+00:00,handmadeMasks,100.0,326
677,don327,2020-04-23 00:41:58.771000+00:00,faceShields,70.0,327
511,don328,2020-04-23 01:25:14.490000+00:00,faceShields,5000.0,328
509,don329,2020-04-23 02:00:22.498000+00:00,surgicalMasks,200.0,329
512,don331,2020-04-23 02:53:22.212000+00:00,handmadeMasks,200.0,330
510,don331,2020-04-23 02:53:22.212000+00:00,surgicalMasks,300.0,331
513,don332,2020-04-23 03:16:01.030000+00:00,faceShields,5000.0,332
371,don333,2020-04-23 03:34:00.055000+00:00,respirators,20.0,333
373,don334,2020-04-23 06:18:42.824000+00:00,surgicalMasks,50.0,334
372,don335,2020-04-23 12:26:48.101000+00:00,handmadeMasks,200.0,335
370,don336,2020-04-23 13:41:18.878000+00:00,handmadeMasks,20.0,336
237,don337,2020-04-23 14:21:46.356000+00:00,handmadeMasks,100.0,337
234,don339,2020-04-23 16:07:11.409000+00:00,handmadeMasks,58.0,338
233,don339,2020-04-23 16:07:11.409000+00:00,disinfectingWipes,800.0,339
109,don340,2020-04-23 17:02:52.536000+00:00,handmadeMasks,20.0,340
108,don341,2020-04-23 17:13:59.033000+00:00,handmadeMasks,20.0,341
110,don342,2020-04-23 17:32:14.504000+00:00,faceShields,20.0,342
107,don343,2020-04-23 17:47:14.051000+00:00,handmadeMasks,50.0,343
1542,don344,2020-04-23 18:58:40.446000+00:00,faceShields,10.0,344
1541,don345,2020-04-23 19:14:24.229000+00:00,faceShields,20.0,345
1408,don346,2020-04-23 19:15:25.128000+00:00,coveralls,20.0,346
1409,don347,2020-04-23 22:56:37.256000+00:00,surgicalMasks,165.0,347
1412,don348,2020-04-23 23:17:08.302000+00:00,surgicalMasks,1000.0,348
1266,don350,2020-04-23 23:22:41.175000+00:00,disinfectingWipes,64.0,349
1268,don350,2020-04-23 23:22:41.175000+00:00,surgicalMasks,100.0,350
1267,don351,2020-04-23 23:31:48.683000+00:00,faceShields,20.0,351
1270,don352,2020-04-23 23:46:48.654000+00:00,respirators,120.0,352
1112,don353,2020-04-24 00:15:32.937000+00:00,faceShields,50.0,353
1111,don354,2020-04-24 00:44:51.336000+00:00,surgicalMasks,2000.0,354
1113,don355,2020-04-24 01:51:33.747000+00:00,faceShields,1000.0,355
1110,don358,2020-04-24 02:31:16.220000+00:00,respirators,100.0,356
951,don358,2020-04-24 02:31:16.220000+00:00,disinfectingWipes,150.0,357
952,don358,2020-04-24 02:31:16.220000+00:00,surgicalMasks,90.0,358
955,don359,2020-04-24 02:32:25.465000+00:00,gowns,1.0,359
786,don360,2020-04-24 02:55:03.199000+00:00,handmadeMasks,25.0,360
784,don361,2020-04-24 07:03:40.848000+00:00,handmadeMasks,100.0,361
785,don362,2020-04-24 13:51:43.406000+00:00,surgicalMasks,1850.0,362
787,don363,2020-04-24 14:02:38.241000+00:00,handmadeMasks,50.0,363
626,don365,2020-04-24 14:22:25.412000+00:00,surgicalMasks,100.0,364
628,don365,2020-04-24 14:22:25.412000+00:00,respirators,10.0,365
630,don366,2020-04-24 15:21:25.329000+00:00,respirators,5000.0,366
480,don367,2020-04-24 17:40:05.162000+00:00,surgicalMasks,2000.0,367
479,don368,2020-04-24 17:55:41.481000+00:00,faceShields,100.0,368
341,don369,2020-04-24 19:02:40.375000+00:00,faceShields,40.0,369
342,don372,2020-04-24 19:30:24.974000+00:00,handmadeMasks,12.0,370
344,don372,2020-04-24 19:30:24.974000+00:00,disinfectingWipes,160.0,371
343,don372,2020-04-24 19:30:24.974000+00:00,nitrileGloves,100.0,372
340,don373,2020-04-24 19:36:34.692000+00:00,surgicalMasks,100.0,373
205,don374,2020-04-24 19:36:52.013000+00:00,respirators,60.0,374
206,don375,2020-04-24 19:52:46.854000+00:00,faceShields,100.0,375
204,don376,2020-04-24 20:14:34.302000+00:00,nitrileGloves,1.0,376
78,don377,2020-04-24 20:18:44.230000+00:00,surgicalMasks,10.0,377
81,don378,2020-04-24 20:18:44.485000+00:00,surgicalMasks,10.0,378
79,don379,2020-04-24 21:04:05.796000+00:00,faceShields,50.0,379
77,don380,2020-04-24 21:17:20.428000+00:00,surgicalMasks,1000.0,380
80,don381,2020-04-24 21:24:37.313000+00:00,surgicalMasks,1000.0,381
1513,don382,2020-04-24 21:30:04.213000+00:00,surgicalMasks,2500.0,382
1510,don383,2020-04-24 22:47:38.430000+00:00,surgicalMasks,70.0,383
1383,don385,2020-04-24 23:02:21.185000+00:00,surgicalMasks,2000.0,384
1511,don385,2020-04-24 23:02:21.185000+00:00,respirators,50.0,385
1381,don386,2020-04-25 00:06:15.071000+00:00,handmadeMasks,100.0,386
1380,don387,2020-04-25 01:06:45.630000+00:00,faceShields,10000.0,387
1379,don388,2020-04-25 04:57:21.590000+00:00,faceShields,600.0,388
